Player,POS,Team,Age,GP,W,L,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Jayson Tatum,SF,BOS,25.0,74.0,52.0,22.0,2732.2,2225.0,727.0,1559.0,46.6,240.0,686.0,35.0,531.0,622.0,85.4,78.0,571.0,649.0,342.0,213.0,78.0,51.0,160.0,3691.0,31.0,1.0,470.0
Joel Embiid,C,PHI,29.0,66.0,43.0,23.0,2284.1,2183.0,728.0,1328.0,54.8,66.0,200.0,33.0,661.0,771.0,85.7,113.0,557.0,670.0,274.0,226.0,66.0,112.0,205.0,3706.0,39.0,1.0,424.0
Luka Doncic,PG,DAL,24.0,66.0,33.0,33.0,2390.5,2138.0,719.0,1449.0,49.6,185.0,541.0,34.2,515.0,694.0,74.2,54.0,515.0,569.0,529.0,236.0,90.0,33.0,166.0,3747.0,36.0,10.0,128.0
Shai Gilgeous-Alexander,PG,OKC,24.0,68.0,33.0,35.0,2416.0,2135.0,704.0,1381.0,51.0,58.0,168.0,34.5,669.0,739.0,90.5,59.0,270.0,329.0,371.0,192.0,112.0,65.0,192.0,3425.0,3.0,0.0,149.0
Giannis Antetokounmpo,PF,MIL,28.0,63.0,47.0,16.0,2023.6,1959.0,707.0,1278.0,55.3,47.0,171.0,27.5,498.0,772.0,64.5,137.0,605.0,742.0,359.0,246.0,52.0,51.0,197.0,3451.0,46.0,6.0,341.0
Anthony Edwards,SG,MIN,21.0,79.0,40.0,39.0,2841.5,1946.0,707.0,1541.0,45.9,213.0,578.0,36.9,319.0,422.0,75.6,47.0,411.0,458.0,350.0,259.0,125.0,58.0,186.0,3311.0,9.0,0.0,97.0
Julius Randle,PF,NYK,28.0,77.0,44.0,33.0,2737.3,1936.0,658.0,1432.0,45.9,218.0,636.0,34.3,402.0,531.0,75.7,141.0,626.0,767.0,316.0,216.0,49.0,21.0,233.0,3324.0,40.0,0.0,170.0
Donovan Mitchell,SG,CLE,26.0,68.0,44.0,24.0,2432.4,1922.0,679.0,1402.0,48.4,245.0,635.0,38.6,319.0,368.0,86.7,63.0,226.0,289.0,301.0,180.0,99.0,27.0,168.0,2918.0,5.0,0.0,338.0
Trae Young,PG,ATL,24.0,73.0,38.0,35.0,2540.7,1914.0,597.0,1390.0,42.9,154.0,460.0,33.5,566.0,639.0,88.6,56.0,161.0,217.0,741.0,300.0,80.0,9.0,104.0,3253.0,40.0,0.0,100.0
Zach LaVine,SG,CHI,28.0,77.0,38.0,39.0,2767.9,1913.0,673.0,1388.0,48.5,204.0,544.0,37.5,363.0,428.0,84.8,42.0,303.0,345.0,327.0,194.0,69.0,18.0,159.0,2885.0,2.0,0.0,18.0
Damian Lillard,PG,POR,32.0,58.0,27.0,31.0,2106.6,1866.0,556.0,1202.0,46.3,244.0,658.0,37.1,510.0,558.0,91.4,44.0,233.0,277.0,425.0,191.0,50.0,18.0,109.0,2849.0,16.0,2.0,105.0
De'Aaron Fox,PG,SAC,25.0,73.0,44.0,29.0,2435.2,1826.0,682.0,1331.0,51.2,119.0,367.0,32.4,343.0,440.0,78.0,40.0,266.0,306.0,447.0,181.0,83.0,23.0,172.0,3001.0,11.0,0.0,176.0
DeMar DeRozan,SF,CHI,33.0,74.0,37.0,37.0,2681.6,1816.0,657.0,1303.0,50.4,46.0,142.0,32.4,456.0,523.0,87.2,34.0,309.0,343.0,377.0,153.0,83.0,36.0,186.0,2997.0,6.0,0.0,67.0
Jaylen Brown,SG,BOS,26.0,67.0,46.0,21.0,2404.9,1784.0,679.0,1383.0,49.1,163.0,487.0,33.5,263.0,344.0,76.5,78.0,381.0,459.0,232.0,197.0,75.0,26.0,172.0,2789.0,13.0,0.0,256.0
Pascal Siakam,PF,TOR,29.0,71.0,35.0,36.0,2652.0,1720.0,630.0,1313.0,48.0,93.0,287.0,32.4,367.0,474.0,77.4,131.0,425.0,556.0,415.0,169.0,65.0,36.0,228.0,3144.0,24.0,2.0,123.0
Lauri Markkanen,PF,UTA,25.0,66.0,32.0,34.0,2272.5,1691.0,571.0,1144.0,49.9,200.0,510.0,39.2,349.0,399.0,87.5,130.0,440.0,570.0,123.0,127.0,42.0,38.0,137.0,2673.0,28.0,0.0,163.0
Nikola Jokic,C,DEN,28.0,69.0,48.0,21.0,2323.0,1690.0,646.0,1022.0,63.2,57.0,149.0,38.3,341.0,415.0,82.2,167.0,650.0,817.0,678.0,247.0,87.0,47.0,174.0,3842.0,58.0,29.0,640.0
Jalen Green,SG,HOU,21.0,76.0,20.0,56.0,2602.2,1683.0,566.0,1359.0,41.6,187.0,554.0,33.8,364.0,463.0,78.6,43.0,241.0,284.0,281.0,200.0,59.0,18.0,131.0,2476.0,0.0,0.0,-447.0
Jordan Poole,SG,GSW,23.0,82.0,44.0,38.0,2458.1,1675.0,550.0,1278.0,43.0,214.0,637.0,33.6,361.0,415.0,87.0,32.0,193.0,225.0,369.0,252.0,63.0,21.0,214.0,2499.0,1.0,0.0,-11.0
Mikal Bridges,SF,BKN,26.0,83.0,42.0,41.0,2963.2,1671.0,593.0,1267.0,46.8,169.0,442.0,38.2,316.0,353.0,89.5,79.0,285.0,364.0,273.0,127.0,91.0,61.0,159.0,2846.0,2.0,0.0,36.0
Stephen Curry,PG,GSW,35.0,56.0,30.0,26.0,1941.2,1648.0,559.0,1133.0,49.3,273.0,639.0,42.7,257.0,281.0,91.5,39.0,302.0,341.0,352.0,179.0,52.0,20.0,117.0,2622.0,12.0,1.0,268.0
Jalen Brunson,PG,NYK,26.0,68.0,40.0,28.0,2378.7,1633.0,587.0,1195.0,49.1,134.0,322.0,41.6,325.0,392.0,82.9,40.0,201.0,241.0,421.0,142.0,61.0,15.0,152.0,2640.0,5.0,0.0,152.0
Kyrie Irving,PG,DAL,31.0,60.0,32.0,28.0,2240.6,1623.0,594.0,1203.0,49.4,188.0,496.0,37.9,247.0,273.0,90.5,59.0,245.0,304.0,331.0,128.0,66.0,45.0,165.0,2689.0,5.0,0.0,222.0
Ja Morant,PG,MEM,23.0,61.0,40.0,21.0,1948.3,1596.0,566.0,1214.0,46.6,92.0,300.0,30.7,372.0,497.0,74.8,61.0,296.0,357.0,493.0,206.0,66.0,16.0,100.0,2804.0,20.0,7.0,302.0
LeBron James,SF,LAL,38.0,55.0,30.0,25.0,1953.9,1590.0,609.0,1219.0,50.0,121.0,377.0,32.1,251.0,327.0,76.8,65.0,392.0,457.0,375.0,178.0,50.0,32.0,88.0,2769.0,18.0,2.0,214.0
CJ McCollum,SG,NOP,31.0,75.0,38.0,37.0,2649.2,1568.0,587.0,1344.0,43.7,211.0,543.0,38.9,183.0,238.0,76.9,55.0,273.0,328.0,429.0,183.0,70.0,38.0,153.0,2746.0,6.0,0.0,59.0
Bam Adebayo,C,MIA,25.0,75.0,40.0,35.0,2598.0,1529.0,602.0,1114.0,54.0,1.0,12.0,8.3,324.0,402.0,80.6,184.0,504.0,688.0,240.0,187.0,88.0,61.0,208.0,2975.0,31.0,0.0,117.0
Dejounte Murray,SG,ATL,26.0,74.0,38.0,36.0,2693.4,1515.0,612.0,1319.0,46.4,133.0,387.0,34.4,158.0,190.0,83.2,53.0,336.0,389.0,448.0,160.0,112.0,19.0,106.0,2887.0,8.0,1.0,-62.0
Domantas Sabonis,PF,SAC,26.0,79.0,47.0,32.0,2735.6,1510.0,577.0,938.0,61.5,31.0,83.0,37.3,325.0,438.0,74.2,251.0,722.0,973.0,573.0,230.0,65.0,39.0,279.0,3619.0,65.0,14.0,212.0
Klay Thompson,SG,GSW,33.0,69.0,38.0,31.0,2278.9,1509.0,546.0,1252.0,43.6,301.0,731.0,41.2,116.0,132.0,87.9,39.0,247.0,286.0,163.0,123.0,49.0,29.0,130.0,2208.0,2.0,0.0,163.0
Kristaps Porzingis,C,WAS,27.0,65.0,27.0,38.0,2119.5,1505.0,507.0,1018.0,49.8,137.0,356.0,38.5,354.0,416.0,85.1,114.0,432.0,546.0,174.0,137.0,58.0,100.0,196.0,2758.0,20.0,0.0,80.0
Darius Garland,PG,CLE,23.0,69.0,40.0,29.0,2447.2,1490.0,522.0,1129.0,46.2,169.0,412.0,41.0,277.0,321.0,86.3,28.0,157.0,185.0,538.0,199.0,85.0,9.0,148.0,2602.0,18.0,0.0,438.0
Franz Wagner,SF,ORL,21.0,80.0,33.0,47.0,2608.7,1485.0,542.0,1118.0,48.5,130.0,360.0,36.1,271.0,322.0,84.2,70.0,259.0,329.0,283.0,167.0,77.0,17.0,183.0,2419.0,2.0,0.0,50.0
Devin Booker,SG,PHX,26.0,53.0,34.0,19.0,1835.4,1471.0,527.0,1067.0,49.4,111.0,316.0,35.1,306.0,358.0,85.5,46.0,194.0,240.0,293.0,145.0,51.0,18.0,159.0,2261.0,5.0,0.0,247.0
Jimmy Butler,SF,MIA,33.0,64.0,35.0,29.0,2138.0,1466.0,479.0,888.0,53.9,36.0,103.0,35.0,472.0,555.0,85.0,141.0,234.0,375.0,340.0,101.0,117.0,21.0,80.0,2739.0,11.0,0.0,47.0
Anthony Davis,PF,LAL,30.0,56.0,31.0,25.0,1904.5,1451.0,542.0,962.0,56.3,19.0,74.0,25.7,348.0,444.0,78.4,195.0,507.0,702.0,148.0,122.0,59.0,114.0,146.0,2912.0,40.0,0.0,205.0
Nikola Vucevic,C,CHI,32.0,82.0,40.0,42.0,2746.4,1447.0,597.0,1148.0,52.0,121.0,347.0,34.9,132.0,158.0,83.5,159.0,744.0,903.0,265.0,139.0,60.0,57.0,179.0,3140.0,51.0,1.0,-20.0
Paolo Banchero,PF,ORL,20.0,72.0,31.0,41.0,2429.7,1437.0,479.0,1122.0,42.7,85.0,285.0,29.8,394.0,534.0,73.8,84.0,413.0,497.0,269.0,200.0,60.0,39.0,160.0,2534.0,14.0,0.0,-215.0
RJ Barrett,SG,NYK,22.0,73.0,40.0,33.0,2475.5,1431.0,510.0,1176.0,43.4,121.0,390.0,31.0,290.0,392.0,74.0,60.0,308.0,368.0,201.0,164.0,31.0,15.0,179.0,2148.0,3.0,0.0,-62.0
Keldon Johnson,SF,SAS,23.0,63.0,17.0,46.0,2063.3,1385.0,503.0,1113.0,45.2,134.0,407.0,32.9,245.0,327.0,74.9,56.0,262.0,318.0,183.0,134.0,46.0,11.0,125.0,2078.0,5.0,0.0,-491.0
Spencer Dinwiddie,PG,BKN,30.0,79.0,41.0,38.0,2725.3,1369.0,460.0,1050.0,43.8,181.0,490.0,36.9,268.0,330.0,81.2,28.0,242.0,270.0,515.0,145.0,67.0,24.0,187.0,2594.0,9.0,0.0,-8.0
Kevin Durant,PF,PHX,34.0,47.0,34.0,13.0,1671.8,1366.0,483.0,862.0,56.0,93.0,230.0,40.4,307.0,334.0,91.9,17.0,296.0,313.0,235.0,156.0,34.0,67.0,99.0,2241.0,5.0,1.0,258.0
Kyle Kuzma,SF,WAS,27.0,64.0,29.0,35.0,2238.9,1357.0,512.0,1142.0,44.8,160.0,481.0,33.3,173.0,237.0,73.0,55.0,408.0,463.0,239.0,190.0,36.0,29.0,145.0,2276.0,14.0,1.0,10.0
Tyler Herro,PG,MIA,23.0,67.0,37.0,30.0,2335.4,1347.0,487.0,1109.0,43.9,203.0,537.0,37.8,170.0,182.0,93.4,27.0,333.0,360.0,280.0,158.0,51.0,16.0,101.0,2242.0,6.0,1.0,170.0
Buddy Hield,SG,IND,30.0,80.0,35.0,45.0,2481.9,1344.0,475.0,1038.0,45.8,288.0,677.0,42.5,106.0,129.0,82.2,67.0,333.0,400.0,225.0,139.0,92.0,26.0,156.0,2377.0,3.0,0.0,-84.0
Fred VanVleet,SG,TOR,29.0,69.0,34.0,35.0,2535.0,1335.0,437.0,1112.0,39.3,207.0,606.0,34.2,254.0,283.0,89.8,30.0,250.0,280.0,495.0,140.0,123.0,38.0,193.0,2757.0,10.0,1.0,195.0
Paul George,F,LAC,33.0,56.0,32.0,24.0,1938.9,1332.0,459.0,1004.0,45.7,158.0,426.0,37.1,256.0,294.0,87.1,45.0,297.0,342.0,288.0,176.0,83.0,20.0,159.0,2307.0,8.0,1.0,157.0
Terry Rozier,SG,CHA,29.0,63.0,19.0,44.0,2220.9,1329.0,493.0,1188.0,41.5,165.0,505.0,32.7,178.0,220.0,80.9,51.0,208.0,259.0,319.0,134.0,74.0,16.0,119.0,2254.0,1.0,0.0,-288.0
Anfernee Simons,SG,POR,23.0,62.0,27.0,35.0,2170.7,1306.0,467.0,1045.0,44.7,212.0,562.0,37.7,160.0,179.0,89.4,18.0,143.0,161.0,253.0,128.0,42.0,14.0,142.0,1919.0,0.0,0.0,-75.0
Bennedict Mathurin,SG,IND,20.0,78.0,33.0,45.0,2222.4,1302.0,413.0,951.0,43.4,100.0,310.0,32.3,376.0,454.0,82.8,87.0,231.0,318.0,116.0,152.0,48.0,13.0,162.0,1889.0,0.0,0.0,-179.0
Jamal Murray,PG,DEN,26.0,65.0,43.0,22.0,2133.4,1298.0,473.0,1041.0,45.4,172.0,432.0,39.8,180.0,216.0,83.3,48.0,209.0,257.0,400.0,145.0,66.0,16.0,103.0,2307.0,5.0,1.0,300.0
Jerami Grant,SF,POR,29.0,63.0,28.0,35.0,2245.5,1290.0,434.0,913.0,47.5,144.0,359.0,40.1,278.0,342.0,81.3,53.0,230.0,283.0,150.0,116.0,51.0,53.0,152.0,2051.0,2.0,0.0,-35.0
Jrue Holiday,PG,MIL,32.0,67.0,50.0,17.0,2182.5,1290.0,490.0,1023.0,47.9,158.0,411.0,38.4,152.0,177.0,85.9,79.0,262.0,341.0,495.0,197.0,79.0,25.0,116.0,2557.0,16.0,0.0,481.0
Evan Mobley,PF,CLE,21.0,79.0,48.0,31.0,2715.3,1277.0,525.0,947.0,55.4,22.0,102.0,21.6,205.0,304.0,67.4,187.0,524.0,711.0,224.0,146.0,60.0,119.0,218.0,2857.0,24.0,0.0,339.0
Bojan Bogdanovic,SF,DET,34.0,59.0,15.0,44.0,1892.9,1273.0,430.0,882.0,48.8,145.0,353.0,41.1,268.0,303.0,88.4,36.0,187.0,223.0,152.0,135.0,34.0,8.0,113.0,1760.0,0.0,0.0,-330.0
Jordan Clarkson,PG,UTA,30.0,61.0,30.0,31.0,1988.3,1271.0,458.0,1031.0,44.4,155.0,459.0,33.8,200.0,245.0,81.6,72.0,174.0,246.0,270.0,186.0,33.0,13.0,120.0,1923.0,3.0,0.0,35.0
D'Angelo Russell,PG,LAL,27.0,71.0,39.0,32.0,2304.1,1263.0,445.0,948.0,46.9,194.0,490.0,39.6,179.0,216.0,82.9,35.0,180.0,215.0,437.0,186.0,70.0,29.0,140.0,2288.0,9.0,0.0,85.0
Josh Giddey,SG,OKC,20.0,76.0,34.0,42.0,2367.3,1260.0,539.0,1118.0,48.2,76.0,234.0,32.5,106.0,145.0,73.1,148.0,451.0,599.0,469.0,211.0,57.0,31.0,143.0,2735.0,28.0,4.0,-105.0
Desmond Bane,SG,MEM,24.0,58.0,38.0,20.0,1841.5,1247.0,450.0,939.0,47.9,166.0,407.0,40.8,181.0,205.0,88.3,43.0,248.0,291.0,254.0,126.0,56.0,22.0,150.0,2085.0,1.0,0.0,356.0
Brook Lopez,C,MIL,35.0,78.0,57.0,21.0,2372.5,1239.0,477.0,899.0,53.1,136.0,364.0,37.4,149.0,190.0,78.4,157.0,363.0,520.0,99.0,107.0,37.0,193.0,203.0,2595.0,11.0,0.0,398.0
Kawhi Leonard,SF,LAC,31.0,52.0,33.0,19.0,1747.5,1239.0,446.0,871.0,51.2,104.0,250.0,41.6,243.0,279.0,87.1,57.0,281.0,338.0,204.0,88.0,72.0,28.0,84.0,2163.0,4.0,0.0,220.0
Harrison Barnes,SF,SAC,30.0,82.0,48.0,34.0,2662.0,1230.0,374.0,791.0,47.3,132.0,353.0,37.4,350.0,413.0,84.7,87.0,279.0,366.0,128.0,86.0,57.0,10.0,103.0,1976.0,0.0,0.0,255.0
Tyrese Maxey,PG,PHI,22.0,60.0,39.0,21.0,2015.8,1218.0,439.0,913.0,48.1,160.0,369.0,43.4,180.0,213.0,84.5,23.0,153.0,176.0,212.0,80.0,49.0,8.0,132.0,1838.0,0.0,0.0,241.0
James Harden,SG,PHI,33.0,58.0,39.0,19.0,2135.0,1216.0,371.0,842.0,44.1,161.0,418.0,38.5,313.0,361.0,86.7,40.0,314.0,354.0,618.0,195.0,71.0,31.0,112.0,2679.0,36.0,5.0,277.0
Immanuel Quickley,SG,NYK,23.0,81.0,47.0,34.0,2344.1,1209.0,419.0,936.0,44.8,168.0,454.0,37.0,203.0,248.0,81.9,58.0,279.0,337.0,279.0,100.0,80.0,14.0,166.0,2214.0,4.0,0.0,318.0
Jaden Ivey,PG,DET,21.0,74.0,16.0,58.0,2304.3,1204.0,409.0,983.0,41.6,120.0,350.0,34.3,266.0,356.0,74.7,73.0,215.0,288.0,387.0,237.0,61.0,17.0,242.0,2127.0,8.0,0.0,-642.0
Deandre Ayton,C,PHX,24.0,67.0,36.0,31.0,2035.3,1203.0,522.0,887.0,58.9,7.0,24.0,29.2,152.0,200.0,76.0,172.0,495.0,667.0,115.0,120.0,37.0,53.0,190.0,2326.0,36.0,0.0,-7.0
Scottie Barnes,SF,TOR,21.0,77.0,38.0,39.0,2677.6,1179.0,463.0,1016.0,45.6,63.0,224.0,28.1,190.0,246.0,77.2,179.0,333.0,512.0,371.0,154.0,83.0,61.0,170.0,2628.0,15.0,1.0,175.0
Jaren Jackson Jr.,PF,MEM,23.0,63.0,41.0,22.0,1787.5,1173.0,416.0,822.0,50.6,100.0,282.0,35.5,241.0,306.0,78.8,108.0,318.0,426.0,60.0,107.0,65.0,189.0,227.0,2429.0,7.0,0.0,366.0
Bradley Beal,SG,WAS,29.0,50.0,24.0,26.0,1672.9,1160.0,444.0,878.0,50.6,80.0,219.0,36.5,192.0,228.0,84.2,41.0,155.0,196.0,271.0,145.0,45.0,33.0,107.0,1891.0,2.0,0.0,42.0
Tyrese Haliburton,PG,IND,23.0,56.0,28.0,28.0,1882.9,1160.0,412.0,841.0,49.0,161.0,402.0,40.0,175.0,201.0,87.1,33.0,172.0,205.0,585.0,141.0,91.0,25.0,69.0,2491.0,32.0,0.0,-35.0
Russell Westbrook,PG,LAC,34.0,73.0,36.0,37.0,2125.8,1159.0,432.0,991.0,43.6,89.0,286.0,31.1,206.0,314.0,65.6,89.0,334.0,423.0,551.0,255.0,76.0,33.0,162.0,2565.0,24.0,4.0,-21.0
Gary Trent Jr.,SG,TOR,24.0,66.0,31.0,35.0,2118.0,1148.0,405.0,935.0,43.3,166.0,450.0,36.9,172.0,205.0,83.9,30.0,143.0,173.0,106.0,55.0,104.0,14.0,102.0,1814.0,0.0,0.0,-52.0
Trey Murphy III,SG,NOP,22.0,79.0,39.0,40.0,2448.0,1148.0,387.0,800.0,48.4,202.0,497.0,40.6,172.0,190.0,90.5,59.0,222.0,281.0,112.0,61.0,89.0,43.0,155.0,1988.0,1.0,0.0,38.0
P.J. Washington,PF,CHA,24.0,73.0,24.0,49.0,2379.6,1144.0,434.0,978.0,44.4,149.0,428.0,34.8,127.0,174.0,73.0,73.0,285.0,358.0,175.0,110.0,66.0,79.0,193.0,2161.0,3.0,0.0,-375.0
Kevin Huerter,SG,SAC,24.0,75.0,44.0,31.0,2202.8,1140.0,420.0,866.0,48.5,205.0,510.0,40.2,95.0,131.0,72.5,42.0,209.0,251.0,221.0,97.0,80.0,24.0,181.0,1988.0,0.0,0.0,222.0
Kevin Porter Jr.,SG,HOU,22.0,59.0,18.0,41.0,2023.9,1130.0,391.0,884.0,44.2,141.0,385.0,36.6,207.0,264.0,78.4,76.0,238.0,314.0,338.0,188.0,82.0,17.0,156.0,2123.0,9.0,1.0,-343.0
O.G. Anunoby,SF,TOR,25.0,67.0,33.0,34.0,2385.7,1124.0,421.0,885.0,47.6,142.0,367.0,38.7,140.0,167.0,83.8,95.0,237.0,332.0,131.0,132.0,128.0,50.0,200.0,2121.0,2.0,0.0,132.0
Jonas Valanciunas,C,NOP,30.0,79.0,40.0,39.0,1968.2,1115.0,446.0,816.0,54.7,38.0,109.0,34.9,185.0,224.0,82.6,225.0,579.0,804.0,140.0,159.0,20.0,52.0,245.0,2347.0,43.0,0.0,-10.0
Christian Wood,F,DAL,27.0,67.0,33.0,34.0,1738.4,1114.0,396.0,769.0,51.5,105.0,279.0,37.6,217.0,281.0,77.2,87.0,404.0,491.0,121.0,121.0,30.0,72.0,169.0,2070.0,12.0,0.0,-46.0
Myles Turner,C,IND,27.0,62.0,29.0,33.0,1825.2,1113.0,402.0,733.0,54.8,93.0,249.0,37.3,216.0,276.0,78.3,88.0,378.0,466.0,89.0,103.0,36.0,140.0,215.0,2231.0,18.0,0.0,-47.0
Brandon Ingram,SF,NOP,25.0,45.0,23.0,22.0,1538.1,1112.0,404.0,835.0,48.4,64.0,164.0,39.0,240.0,272.0,88.2,23.0,223.0,246.0,262.0,148.0,32.0,19.0,116.0,1805.0,6.0,2.0,96.0
